ID,family,genus,species,taxa,max_lat,min_lat,mid_lat,lat_range,max_size,min_depth,max_depth,midpoint_depth,hab_type
1015,Vesicomyidae,Vesicomya,gigas,Vesicomya_gigas,48.4,27.2,37.8,21.2,125,550,2610,1580,
1011,Vesicomyidae,Vesicomya,lepta,Vesicomya_lepta,45.5,27.2,36.35,18.3,65,850,1920,1385,
916,Vesicomyidae,Vesicomya,pacifica,Vesicomya_pacifica,44.9,-33.2,5.85,78.1,9,1200,6200,3700,
1017,Vesicomyidae,Vesicomya,packardana,Vesicomya_packardana,36.8,34.5,35.65,2.3,80,,600,,Cold seeps
1012,Vesicomyidae,Vesicomya,stearnsii,Vesicomya_stearnsii,48.4,6,27.2,42.4,46,370,3070,1720,
306,Mytilidae,Vilasina,vernicosa,Vilasina_vernicosa,56.5,54.8,55.65,1.7,25,10,80,45,
1463,Galeommatidae,Waldo,digitatus,Waldo_digitatus,-41.6,-47.7,-44.65,6.1,4,0,200,,heart urchins
1321,Xylophagidae,Xylophaga,aurita,Xylophaga_aurita,7.3,7.3,7.3,0,5,915,915,915,
1322,Xylophagidae,Xylophaga,concava,Xylophaga_concava,7.4,5.8,6.6,1.6,9,915,3670,2292.5,
1323,Xylophagidae,Xylophaga,duplicata,Xylophaga_duplicata,15.1,7.3,11.2,7.8,4,109,915,512,
1325,Xylophagidae,Xylophaga,mexicana,Xylophaga_mexicana,33.8,15.1,24.45,18.7,4,34,258,146,
1326,Xylophagidae,Xylophaga,multichela,Xylophaga_multichela,13.8,6.6,10.2,7.2,3,106,119,112.5,
1327,Xylophagidae,Xylophaga,obtusata,Xylophaga_obtusata,7.3,7.3,7.3,0,10,915,915,915,
1328,Xylophagidae,Xylophaga,panamensis,Xylophaga_panamensis,7.4,7.4,7.4,0,3,915,975,945,
1329,Xylophagidae,Xylophaga,turnerae,Xylophaga_turnerae,7.3,7.3,7.3,0,10,915,915,915,
1161,Pholadidae,Xylophaga,washingtona,Xylophaga_washingtona,64,33.2,48.6,30.8,6,75,2300,1187.5,waterlogged wood
249,Yoldiidae,Yoldia (Cnesterium),seminuda,Yoldia (Cnesterium)_seminuda,71,32.7,51.85,38.3,40,15,375,195,
250,Yoldiidae,Yoldia (Kalayoldia),cooperii,Yoldia (Kalayoldia)_cooperii,40.4,31.8,36.1,8.6,73,5,40,22.5,
247,Yoldiidae,Yoldia (Yoldia),hyperborea,Yoldia (Yoldia)_hyperborea,71,32.7,51.85,38.3,50,15,360,187.5,
248,Yoldiidae,Yoldia (Yoldia),myalis,Yoldia (Yoldia)_myalis,71,48.7,59.85,22.3,30,20,165,92.5,
540,Yoldiidae,Yoldia,martyria,Yoldia_martyria,50.2,28.3,39.25,21.9,27,150,330,240,
541,Yoldiidae,Yoldiella,capsa,Yoldiella_capsa,45.5,9.5,27.5,36,5,1150,1800,1475,
542,Yoldiidae,Yoldiella,cf. orcia,Yoldiella_cf. orcia,55.1,9.5,32.3,45.6,8,1150,1500,1325,
259,Yoldiidae,Yoldiella,derjugini,Yoldiella_derjugini,58,58,58,0,4,520,800,660,
260,Yoldiidae,Yoldiella,frigida,Yoldiella_frigida,71,71,71,0,4,110,500,305,Panarctic and circumpolar
261,Yoldiidae,Yoldiella,nana,Yoldiella_nana,71,37.7,54.35,33.3,5,40,991,515.5,Panarctic and circumpolar
1150,Pholadidae,Zirfaea,pilsbryi,Zirfaea_pilsbryi,69.7,24.6,47.15,45.1,145,0,125,62.5,soft clay or mud
475,Pectinidae,Zygochlamys,patagonica,Zygochlamys_patagonica,-35,-55,-45,20,90,1,270,135.5,various bottom types
476,Pectinidae,Zygochlamys,phalara,Zygochlamys_phalara,-33.7,-33.7,-33.7,0,39,0,200,,
